eval_index,eval_filename,name,source_group,logical_id,source_path,prompt
13,0013.mp4,LVP_012,LVP100,0012,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0013.mp4,"From a first-person perspective, a right hand clenched into a fist moves to punch a glass safety railing overlooking a lower floor with a polished terrazzo surface."
14,0014.mp4,LVP_013,LVP100,0013,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0014.mp4,"From an overhead view, a person's right hand reaches over the open lid of a white toilet to press the smaller button on the chrome dual-flush mechanism."
15,0015.mp4,LVP_014,LVP100,0014,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0015.mp4,A person's left hand inserts a green straw into the cross-shaped opening on the lid of a clear plastic cup that is sitting on a wooden desk next to a keyboard.
16,0016.mp4,LVP_015,LVP100,0015,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0016.mp4,A person's right hand pushes open the right side of a wooden gate equipped with a black metal latch.
17,0017.mp4,LVP_016,LVP100,0016,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0017.mp4,A right hand reaches to pick up a silver fork that is lying on a white desk next to a grey Logitech keyboard.
18,0018.mp4,LVP_017,LVP100,0017,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0018.mp4,"A right hand tears down a paper sign with a ""Berkeley Physics Lab"" logo from a glass door."
19,0019.mp4,LVP_018,LVP100,0018,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0019.mp4,A person's left hand reaches toward the handle of a stainless steel oven to pull it open.
20,0020.mp4,LVP_019,LVP100,0019,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0020.mp4,A left hand reaches for the curved backrest of a pale-green wooden chair that is sitting on a patterned rug and lifts it.
21,0021.mp4,LVP_020,LVP100,0020,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0020.mp4,A right hand reaches to grab the right handlebar of a green and white electric scooter parked on a city sidewalk.
22,0022.mp4,LVP_021,LVP100,0021,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0021.mp4,A hand moves a silver fork toward the red cup decorated with a repeating pattern of a cartoon French bulldog.
23,0023.mp4,LVP_022,LVP100,0022,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0022.mp4,A left hand pulls a light-colored wooden chair away from a dark wooden table.
24,0024.mp4,LVP_023,LVP100,0023,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0023.mp4,A hand reaches toward a white power strip on a grey carpeted floor to unplug a black electrical cord.
25,0025.mp4,LVP_024,LVP100,0024,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0024.mp4,A hand reaches towards a plastic cup on a white desk to pull the clear straw out of the lid.
26,0026.mp4,LVP_025,LVP100,0025,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0025.mp4,A right hand reaches toward a crumpled grey towel lying on a light brown wooden surface next to a white pole.
27,0027.mp4,LVP_026,LVP100,0026,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0026.mp4,A right hand lifts a silver spoon out of a white bowl of berries and nuts resting on the canvas seat of a wooden chair.
28,0028.mp4,LVP_027,LVP100,0027,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0027.mp4,A person's right hand reaches toward the black handset of a purple public payphone on a sidewalk.
29,0029.mp4,LVP_028,LVP100,0028,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0028.mp4,A left hand reaches up and pulls open the left-side white cabinet door located above a white range hood.
30,0030.mp4,LVP_029,LVP100,0029,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0029.mp4,"A left hand pushes the open door of the silver, front-loading LG washing machine to close it."
31,0031.mp4,LVP_030,LVP100,0030,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0030.mp4,A person's right hand reaches over a stainless steel sink toward a blue plastic container holding a steel wool pad.
32,0032.mp4,LVP_031,LVP100,0031,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0031.mp4,"A left hand reaches toward a round, mirrored table and picks up a dark blue, spiral-bound notebook."
33,0033.mp4,LVP_032,LVP100,0032,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0032.mp4,"A person's left hand reaches across a wooden table to pick up the 'Berkeley ENGINEER' magazine, which has a green banner at the top and the title 'Light Science' on its cover."
34,0034.mp4,LVP_033,LVP100,0033,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0033.mp4,"A person's right index finger presses the circular button on the red ""Shell V-Power"" section of a gas pump."
35,0035.mp4,LVP_034,LVP100,0034,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0034.mp4,A hand reaches from the bottom right of the frame to open the lid of the green compost bin located in the center.
36,0036.mp4,LVP_035,LVP100,0035,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0035.mp4,"A right hand lifts the lid off a white ceramic jar labeled ""TREATS"" that is sitting on a dark blue countertop."
37,0037.mp4,LVP_036,LVP100,0036,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0036.mp4,"A left hand reaches across a white sink to pick up a small, white, leaf-shaped bar of soap resting on the right side."
38,0038.mp4,LVP_037,LVP100,0037,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0037.mp4,"A right hand presses a black manual stapler onto the corner of a document resting on a dark, speckled countertop."
39,0039.mp4,LVP_038,LVP100,0038,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0038.mp4,A person's right hand flips up the red lever on the chrome spigot of the black hot water dispenser.
40,0040.mp4,LVP_039,LVP100,0039,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0039.mp4,"A left hand lifts the yellow cover of the book ""David and Goliath"" by Malcolm Gladwell, which is resting on a fluffy white rug."
41,0041.mp4,LVP_040,LVP100,0040,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0040.mp4,"A right hand pushes down on the black handle of a paper cutter, slicing a sheet of white paper positioned on the gridded cutting board."
42,0042.mp4,LVP_041,LVP100,0041,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0041.mp4,"A right hand reaches into a yellow bucket, which is on a green crate next to a white bollard, and grabs a black windshield squeegee."
43,0043.mp4,LVP_042,LVP100,0042,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0042.mp4,"A hand reaches into a grey, felt-lined nook and pulls a three-legged wooden stool out from the corner."
44,0044.mp4,LVP_043,LVP100,0043,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0043.mp4,A hand pulls the black vertical handle on the left side of the white refrigerator's upper door to open it.
45,0045.mp4,LVP_044,LVP100,0044,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0044.mp4,"A right hand reaches up to close the open metal door of a rusty, cylindrical mailbox mounted on a weathered wooden post next to brick stairs."
46,0046.mp4,LVP_045,LVP100,0045,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0045.mp4,"A person's hand reaches to turn the black, circular wheel on a large, red industrial valve located in front of a chain-link fence."
47,0047.mp4,LVP_046,LVP100,0046,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0046.mp4,A hand moves the pink mouse on the white desk closer to the foreground.
48,0048.mp4,LVP_047,LVP100,0047,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0047.mp4,A right hand reaches toward the white trash bin located under a wooden surface to open it.
49,0049.mp4,LVP_048,LVP100,0048,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0048.mp4,A person's right hand pushes open the right side of a wooden gate equipped with a black metal latch.
50,0050.mp4,LVP_049,LVP100,0049,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0049.mp4,"A left hand, extending from a grey sweatshirt sleeve, is positioned to lift the lid of a dark grey laptop resting on the canvas seat of a light wood-framed chair."
51,0051.mp4,LVP_050,LVP100,0050,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0050.mp4,"A right hand holding a silver spoon places it into the black mug with the white ""The Robotics Institute"" logo."
52,0052.mp4,LVP_051,LVP100,0051,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0051.mp4,A left hand reaches toward a green and white paper cup on a grey patterned carpet and squeezes it.
53,0053.mp4,LVP_052,LVP100,0052,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0052.mp4,A person's right hand reaches towards the silver panel on a black emergency call box to press the red button.
54,0054.mp4,LVP_053,LVP100,0053,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0053.mp4,A right hand reaches across the black speckled countertop to pick up the blue creamer cup from a group of three.
55,0055.mp4,LVP_054,LVP100,0054,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0054.mp4,A left hand reaches onto the corner of a light-brown wooden table and picks up the white AirPods case.
56,0056.mp4,LVP_055,LVP100,0055,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0055.mp4,A person's left arm reaches down toward the black plunger in its holder on the hexagonal-tiled floor next to the toilet.
57,0057.mp4,LVP_056,LVP100,0056,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0056.mp4,A right hand reaches into the top shelf of an open Frigidaire refrigerator and pulls out a half-full plastic jug of Berkeley milk.
58,0058.mp4,LVP_057,LVP100,0057,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0057.mp4,"A person's right hand moves to twist the white, ridged cap off a white and red bottle that is lying on the gray fabric of an office chair."
59,0059.mp4,LVP_058,LVP100,0058,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0058.mp4,A right index finger presses the number 8 button on the lower physical keypad of a stainless steel elevator control panel.
60,0060.mp4,LVP_059,LVP100,0059,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0059.mp4,"A right hand with dark nail polish on the thumb, extending from a white-cuffed sleeve, reaches to hold the black, textured right handlebar of an electric scooter."
61,0061.mp4,LVP_060,LVP100,0060,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0060.mp4,"A person's right hand holding a silver spoon places it into the red cup decorated with French bulldog faces, which already contains a fork."
62,0062.mp4,LVP_061,LVP100,0061,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0061.mp4,A person's hand reaches for the open zipper on the front of a black backpack resting on a wooden desk to zip it closed.
63,0063.mp4,LVP_062,LVP100,0062,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0062.mp4,A right hand reaches to grab the wooden chair with a cross-back design on the red brick patio.
64,0064.mp4,LVP_063,LVP100,0063,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0063.mp4,"A person's left hand reaches for a spray bottle in a yellow caddy on a janitorial cart, which also holds a box of black gloves, a roll of paper towels, and other cleaning solutions."
65,0065.mp4,LVP_064,LVP100,0064,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0064.mp4,A right hand reaches for the silver doorknob to open the black metal mesh security gate.
66,0066.mp4,LVP_065,LVP100,0065,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0065.mp4,A right hand with dark nail polish reaches toward a white desk to unscrew the cap of an orange plastic bottle of Ito En Hojicha tea.
67,0067.mp4,LVP_066,LVP100,0066,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0066.mp4,A person's right index finger moves towards an open container of yellow petroleum jelly on a white bathroom counter to scoop some of the paste.
68,0068.mp4,LVP_067,LVP100,0067,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0067.mp4,"From an overhead view, a person's right hand reaches over the open lid of a white toilet to press the smaller button on the chrome dual-flush mechanism."
69,0069.mp4,LVP_068,LVP100,0068,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0068.mp4,"A right hand reaches for a white power adapter on a white desk, moving to plug it into the adjacent white power strip."
70,0070.mp4,LVP_069,LVP100,0069,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0069.mp4,"A person's right hand reaches towards the silver doorknob on a dirty, white paneled door, which is next to a textured white wall with a double light switch."
71,0071.mp4,LVP_070,LVP100,0070,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0070.mp4,"A person's left hand lifts the lid of a white, top-loading washing machine using the indented handle on the front."
72,0072.mp4,LVP_071,LVP100,0071,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0071.mp4,"A right hand with black nail polish reaches toward a teal, BMO-themed earbud case on a wooden surface to open the lid."
73,0073.mp4,LVP_072,LVP100,0072,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0072.mp4,A right hand reaches down to pick up an upside-down electric skateboard from a wooden floor.
74,0074.mp4,LVP_073,LVP100,0073,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0073.mp4,A right hand reaches to grab the black gas nozzle from its holster on a white and yellow Shell gas pump.
75,0075.mp4,LVP_074,LVP100,0074,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0074.mp4,A person's right hand turns the thumb-turn of the brass deadbolt lock on a white door.
76,0076.mp4,LVP_075,LVP100,0075,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0075.mp4,"A right hand unscrews the white lid from a large, translucent plastic jar that is sitting on a dark, speckled countertop."
77,0077.mp4,LVP_076,LVP100,0076,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0076.mp4,"A person's left hand reaches to grab the top black, octagonal 'Iron Grip' weight plate from a stack on a yellow Hammer Strength machine."
78,0078.mp4,LVP_077,LVP100,0077,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0077.mp4,"A right hand moves a white ergonomic mouse leftwards, sliding it from its position on top of the black keyboard."
79,0079.mp4,LVP_078,LVP100,0078,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0078.mp4,A left hand reaches into the open blue and white bottle of vitamins sitting on a white plastic cart.
80,0080.mp4,LVP_079,LVP100,0079,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0079.mp4,"A hand, extending from a blue sleeve, reaches for the brushed metal lever handle on the white paneled door and lifts it upward."
81,0081.mp4,LVP_080,LVP100,0080,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0080.mp4,"A right hand flips the black cover of the open spiral notebook over the gridded page, closing the notebook on the round, mirrored table."
82,0082.mp4,LVP_081,LVP100,0081,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0081.mp4,"A person's left hand, wearing a grey sweatshirt, turns the large silver control knob on the front of a grey LG washing machine."
83,0083.mp4,LVP_082,LVP100,0082,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0082.mp4,A right hand reaches for a black eraser resting in a black holder attached to a whiteboard to erase the purple triangle drawn on the board.
84,0084.mp4,LVP_083,LVP100,0083,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0083.mp4,"From a first-person perspective, a right hand clenched into a fist moves to punch a glass safety railing overlooking a lower floor with a polished terrazzo surface."
85,0085.mp4,LVP_084,LVP100,0084,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0084.mp4,A right hand pushes down the open blue lid of a recycling bin located on a street curb.
86,0086.mp4,LVP_085,LVP100,0085,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0085.mp4,"A right hand holding a key with a black head moves it towards the silver deadbolt lock on a white door, positioned above a silver doorknob."
87,0087.mp4,LVP_086,LVP100,0086,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0086.mp4,A left hand reaches for the handle on the left side of a white dryer door and pulls it open.
88,0088.mp4,LVP_087,LVP100,0087,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0087.mp4,"A right hand reaches toward a white, single-toggle light switch on a beige wall to flick it upward."
89,0089.mp4,LVP_088,LVP100,0088,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0088.mp4,A right hand with dark nail polish reaches for a black rectangular eraser resting on a light-colored wooden surface.
90,0090.mp4,LVP_089,LVP100,0089,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0089.mp4,A right hand in a grey sleeve reaches to lift the stainless steel pan lid from the black electric stovetop.
91,0091.mp4,LVP_090,LVP100,0090,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0090.mp4,"A right hand tears down a paper sign with a ""Berkeley Physics Lab"" logo from a glass door."
92,0092.mp4,LVP_091,LVP100,0091,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0091.mp4,A right hand reaches towards an orange and white traffic cone sitting on a white line in an asphalt parking lot.
93,0093.mp4,LVP_092,LVP100,0092,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0092.mp4,"A hand reaches up to press the horizontal metal panic bar, which has a green indicator light, on a white door."
94,0094.mp4,LVP_093,LVP100,0093,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0093.mp4,A person's left hand reaches toward the handle of a stainless steel oven to pull it open.
95,0095.mp4,LVP_094,LVP100,0094,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0094.mp4,"A person's right hand rests on the black dial of a silver Patton floor fan, which is positioned on a counter in front of shelves stocked with cases of instant noodles."
96,0096.mp4,LVP_095,LVP100,0095,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0095.mp4,"A hand wipes a light brown, wood-grain floor with a white paper towel."
97,0097.mp4,LVP_096,LVP100,0096,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0096.mp4,A hand holding a silver fork moves it from over the black mug and places it into the red cup decorated with a dog pattern.
98,0098.mp4,LVP_097,LVP100,0097,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0097.mp4,"The left hand holds an open book, its thumb placed on the bottom corner of the right-hand page, and turns the page to the left."
99,0099.mp4,LVP_098,LVP100,0098,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0098.mp4,"A person places their left hand, palm facing up, under the nozzle of a black and clear Purell hand sanitizer dispenser mounted on a black stand."
100,0100.mp4,LVP_099,LVP100,0099,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/lvp_tail80_numbered/0099.mp4,"A right hand reaches towards a row of books on a wooden shelf to pull out the blue hardcover book titled ""molecular genetics of bacteria."""
101,0101.mp4,RoboWM_000,RoboWM68,0000,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0000.mp4,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
102,0102.mp4,RoboWM_001,RoboWM68,0001,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0001.mp4,"The robotic arm closes its gripper and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
103,0103.mp4,RoboWM_002,RoboWM68,0002,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0002.mp4,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
104,0104.mp4,RoboWM_003,RoboWM68,0003,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0003.mp4,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
105,0105.mp4,RoboWM_004,RoboWM68,0004,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0004.mp4,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
106,0106.mp4,RoboWM_005,RoboWM68,0005,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0005.mp4,"The robotic arm picks up the blue cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
107,0107.mp4,RoboWM_006,RoboWM68,0006,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0006.mp4,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
108,0108.mp4,RoboWM_007,RoboWM68,0007,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0007.mp4,"The robotic arm picks up the white cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
109,0109.mp4,RoboWM_008,RoboWM68,0008,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0008.mp4,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
110,0110.mp4,RoboWM_009,RoboWM68,0009,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0009.mp4,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
111,0111.mp4,RoboWM_010,RoboWM68,0010,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0010.mp4,"The robotic arm picks up the white cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
112,0112.mp4,RoboWM_011,RoboWM68,0011,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0011.mp4,"The robotic arm picks up the white cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged."
