name,score,prompt,reason
LVP_010,4,A right hand uses a blue pen to press the 'F' key on the black keyboard of a laptop.,"The video shows a human hand using a blue pen to press the 'F' key on a laptop keyboard. While using a pen to press a key is not a typical human interaction, it is physically plausible and does not violate common-sense expectations. There are no physical grounding violations, spontaneous object appearances, or false grasps. The hand and pen are consistently grounded and interact with the keyboard in a coherent manner. The action is clearly intentional and visually consistent across frames, making it a minor deviation from normal behavior rather than a major anomaly."
LVP_011,5,The left hand reaches for the green paper cup resting on the black leather couch and flips it upside down.,"The sequence shows a human hand reaching for, grasping, and flipping a paper cup upside down on a couch, which is a physically plausible and common-sense action. There are no floating objects, spontaneous appearances, or non-contact attachments. The motion is smooth and consistent with real-world physics and human interaction. The action is clearly intentional and correctly executed."
LVP_012,4,"From a first-person perspective, a right hand clenched into a fist moves to punch a glass safety railing overlooking a lower floor with a polished terrazzo surface.","The video shows a human fist moving toward a glass railing in a sequence that is physically plausible. There are no floating objects, no spontaneous appearances, and no false grasps. The motion of the fist is consistent with a punch, and the glass railing appears solid and unbroken. While punching a glass railing is an aggressive and potentially dangerous action, it is still a physically possible human interaction, even if it is not socially or contextually appropriate. The sequence does not contain any physical violations or anomalies."
LVP_013,5,"From an overhead view, a person's right hand reaches over the open lid of a white toilet to press the smaller button on the chrome dual-flush mechanism.","The video shows a human hand interacting with a dual-flush toilet mechanism in a realistic, grounded manner. The hand reaches over the open lid, presses the smaller button, and the motion is consistent across frames. There are no floating objects, penetration, or spontaneous appearances. The interaction is physically plausible and aligns with common human behavior in a bathroom setting. The sequence is coherent and free of anomalies."
LVP_014,5,A person's left hand inserts a green straw into the cross-shaped opening on the lid of a clear plastic cup that is sitting on a wooden desk next to a keyboard.,"The video shows a human hand inserting a green straw into a cup lid in a smooth, physically plausible sequence. There are no floating objects, no spontaneous appearances, and the straw is correctly inserted through the cross-shaped opening with clear contact. The action aligns with common human behavior of preparing a drink. All frames are consistent with real-world physics and expectations."
LVP_015,5,A person's right hand pushes open the right side of a wooden gate equipped with a black metal latch.,"The video shows a human hand interacting with a wooden gate latch in a physically plausible and common-sense manner. The hand approaches, grasps, and manipulates the latch, which is a standard action for opening a gate. There are no floating objects, no spontaneous appearances, and no false grasps—everything is physically grounded and consistent with real-world interaction. The sequence flows logically from approach to latch operation, matching human behavior."
LVP_016,5,A right hand reaches to pick up a silver fork that is lying on a white desk next to a grey Logitech keyboard.,"The video shows a human hand reaching for and picking up a fork from a desk next to a keyboard, which is a plausible and common human action. There are no physical grounding violations, no spontaneous object appearances, and the grasp is physically plausible with clear contact. The sequence follows natural motion and common-sense expectations for interacting with objects in a desk environment."
LVP_017,5,"A right hand tears down a paper sign with a ""Berkeley Physics Lab"" logo from a glass door.","The video shows a human hand peeling a paper sign from a glass door, which is a physically plausible and common-sense action. The hand makes contact with the sign, applies force, and removes it without floating or penetrating other objects. There are no spontaneous appearances or false grasps. The sequence is consistent with how a person would realistically interact with a sticker or sign on a door."
LVP_018,5,A person's left hand reaches toward the handle of a stainless steel oven to pull it open.,"The video shows a person's left hand reaching for and pulling open a stainless steel oven door in a sequence that follows natural human motion. There are no floating parts, no spontaneous object appearances, and the hand makes clear physical contact with the handle, causing the door to open. The interaction is physically plausible and consistent with common-sense expectations for opening an oven."
LVP_019,5,A left hand reaches for the curved backrest of a pale-green wooden chair that is sitting on a patterned rug and lifts it.,"The sequence shows a human hand reaching for and lifting a chair in a physically plausible manner. There are no floating parts, no spontaneous object appearances, and the grasp is clear and grounded. The motion follows natural human interaction with furniture, starting with a reach, making contact, and then lifting. All frames are consistent with common-sense expectations."
LVP_020,5,A right hand reaches to grab the right handlebar of a green and white electric scooter parked on a city sidewalk.,"The video shows a right hand reaching for and grasping the handlebar of a parked electric scooter in a natural, sequential manner. There are no physical grounding violations, no spontaneous object appearances, and the grasp is physically plausible with clear contact. The motion follows common-sense human interaction: reaching, closing the fingers around the handlebar, and stabilizing the grip. All frames are consistent with a realistic human action."
LVP_021,5,A hand moves a silver fork toward the red cup decorated with a repeating pattern of a cartoon French bulldog.,"The video shows a hand moving a fork toward and into a red cup with a cartoon French bulldog pattern. The motion is smooth and physically plausible, with no floating objects, spontaneous appearances, or non-contact attachment. The interaction is consistent with common human behavior: using a fork to stir or place something in a cup. All frames show coherent, grounded physics and natural hand movements. This fully complies with human-level common-sense expectations."
LVP_022,5,A left hand pulls a light-colored wooden chair away from a dark wooden table.,"The video shows a human hand pulling a wooden chair away from a table in a smooth, physically plausible sequence. There are no floating objects, no spontaneous appearances, and the hand maintains clear contact with the chair throughout the motion. The interaction adheres to common-sense expectations for pulling a chair, with natural motion and no violations of physical grounding or contact. The sequence is consistent and realistic."
LVP_023,5,A hand reaches toward a white power strip on a grey carpeted floor to unplug a black electrical cord.,"The video shows a hand reaching for and unplugging a black cord from a white power strip on a grey carpet. The motion is physically plausible and consistent with human interaction: the hand approaches, grasps the plug, and pulls it out. There are no floating objects, no spontaneous appearances, and no false grasps. The sequence follows a logical, common-sense progression for unplugging an electrical device. All interactions are grounded and physically accurate."
LVP_024,5,A hand reaches towards a plastic cup on a white desk to pull the clear straw out of the lid.,"The video shows a hand reaching for and pulling a straw from a plastic cup lid in a physically plausible and common-sense manner. There are no floating parts, spontaneous object appearances, or non-contact attachments. The hand makes clear physical contact with the lid and straw, and the motion is consistent with human interaction. The sequence is realistic and aligns with everyday actions."
LVP_025,5,A right hand reaches toward a crumpled grey towel lying on a light brown wooden surface next to a white pole.,"The video shows a human hand reaching for and grasping a crumpled grey towel on a wooden surface, which is a common, physically plausible interaction. There are no floating objects, no spontaneous appearances, and the grasp is physically grounded with clear contact. The sequence follows natural human motion: reaching, touching, and pulling the towel. All elements are consistent with real-world physics and human behavior, making it fully consistent with common-sense expectations."
LVP_026,5,A right hand lifts a silver spoon out of a white bowl of berries and nuts resting on the canvas seat of a wooden chair.,"The video shows a human hand interacting with a spoon and a bowl of food in a natural, sequential manner. There are no physical grounding violations, no spontaneous object appearances, and the grasp and lifting of the spoon are physically plausible and consistent with human behavior. The sequence follows common-sense expectations for eating: reaching for the spoon, lifting it, and scooping food. All interactions are grounded and realistic."
LVP_027,5,A person's right hand reaches toward the black handset of a purple public payphone on a sidewalk.,"The video shows a human hand reaching toward and interacting with a public payphone in a realistic, sequential manner. There are no physical grounding violations, no spontaneous object appearances, and the hand's interaction with the handset is plausible and consistent with human behavior. The sequence correctly depicts the motion of reaching, grasping, and lifting the handset, which aligns with common-sense expectations for using a payphone. No anomalies are present."
LVP_028,5,A left hand reaches up and pulls open the left-side white cabinet door located above a white range hood.,"The sequence shows a human hand reaching up to open a cabinet door above a range hood, which is a common, physically plausible action. There are no floating parts, no spontaneous object appearances, and the hand makes clear contact with the cabinet door before pulling it open. The motion follows natural human kinematics and the resulting state (door open, revealing contents) is consistent with common-sense expectations. The video is free of anomalies and fully aligns with human-level interaction norms."
LVP_029,5,"A left hand pushes the open door of the silver, front-loading LG washing machine to close it.","The video shows a human hand pushing the door of a front-loading washing machine to close it, which is a common and physically plausible action. There are no floating objects, no spontaneous appearances, and the hand makes clear physical contact with the door throughout the sequence. The motion follows natural human interaction with the appliance, and the door closes smoothly without any anomalies. The sequence is consistent with real-world expectations."
LVP_030,5,A person's right hand reaches over a stainless steel sink toward a blue plastic container holding a steel wool pad.,"The video shows a human hand reaching for and retrieving a steel wool pad from a blue plastic container on a kitchen sink counter. The motion is smooth and physically plausible, with no floating or penetrating objects, no spontaneous appearances, and clear contact during the grasp. The action aligns with common-sense expectations for retrieving a cleaning tool from a storage container. The sequence is consistent and free of anomalies."
LVP_031,5,"A left hand reaches toward a round, mirrored table and picks up a dark blue, spiral-bound notebook.","The video shows a human hand reaching for and picking up a spiral-bound notebook from a round table, which is a common, physically plausible action. There are no floating objects, no spontaneous appearances, and the grasp is physically grounded with clear contact. The sequence follows natural human motion and interaction with objects, making it consistent with human-level common sense."
LVP_032,5,"A person's left hand reaches across a wooden table to pick up the 'Berkeley ENGINEER' magazine, which has a green banner at the top and the title 'Light Science' on its cover.","The video shows a human hand reaching for and picking up a magazine from a wooden table in a sequence that is physically plausible and consistent with common human behavior. There are no floating objects, no spontaneous appearances, and the grasp is properly formed with clear contact. The motion of the hand moving from an extended position to a closed grip on the magazine is natural and expected. All frames show a coherent, continuous action without anomalies."
LVP_033,5,"A person's right index finger presses the circular button on the red ""Shell V-Power"" section of a gas pump.","The video shows a human hand pressing a circular button on a Shell gas pump, which is a common and physically plausible interaction. There are no floating parts, no spontaneous object appearances, and the finger makes clear contact with the button. The sequence follows natural human behavior for selecting fuel at a gas station. All frames are consistent with real-world expectations."
LVP_034,5,A hand reaches from the bottom right of the frame to open the lid of the green compost bin located in the center.,"The video shows a hand approaching and opening a green compost bin in a natural, step-by-step manner. There are no floating parts, no spontaneous object appearances, and the hand makes clear physical contact with the lid before lifting it. The sequence follows common-sense human interaction: reaching, grasping, and lifting the lid. The motion is plausible and consistent with real-world behavior. No anomalies are present, and the action is fully grounded in reality."
LVP_035,5,"A right hand lifts the lid off a white ceramic jar labeled ""TREATS"" that is sitting on a dark blue countertop.","The video shows a human hand lifting the lid off a white ceramic jar labeled 'TREATS' in a smooth, physically plausible sequence. There are no floating objects, no spontaneous appearances, and the grasp and lifting action are consistent with real-world physics and human interaction. The motion is natural and follows common-sense expectations for opening a jar."
LVP_036,5,"A left hand reaches across a white sink to pick up a small, white, leaf-shaped bar of soap resting on the right side.","The video shows a hand interacting with a sink and a small cup. The hand moves naturally, grasping the cup without floating or penetrating other objects. The soap remains stationary on the sink edge, which is consistent with human behavior. There are no spontaneous appearances or false grasps. The action of picking up a cup from a sink is a common, physically plausible interaction. The sequence is consistent with human-level expectations."
LVP_037,5,"A right hand presses a black manual stapler onto the corner of a document resting on a dark, speckled countertop.","The video shows a human hand interacting with a manual stapler and a document in a way that is physically grounded and consistent with common-sense office tasks. There are no floating objects, no spontaneous appearances, and the hand makes clear physical contact with the stapler as it is pressed down. The sequence logically depicts the action of stapling a document, which is a standard human activity. All frames show plausible, continuous motion without violations."
LVP_038,5,A person's right hand flips up the red lever on the chrome spigot of the black hot water dispenser.,"The video shows a human hand interacting with a hot water dispenser in a physically plausible and common-sense manner. The hand approaches, grasps the red lever, and flips it up to dispense water. There are no floating parts, no spontaneous object appearances, and the interaction is grounded with clear physical contact. The sequence is consistent with how a person would operate such a device, making it fully consistent with human-level expectations."
LVP_039,5,"A left hand lifts the yellow cover of the book ""David and Goliath"" by Malcolm Gladwell, which is resting on a fluffy white rug.","The video shows a human hand interacting with a book in a natural, step-by-step manner: first approaching, then lifting the cover, and finally opening it. The hand makes clear physical contact with the book throughout, with no floating, penetration, or spontaneous appearance of objects. The motion is consistent with human behavior for opening a book, and the sequence is physically plausible. There are no anomalies or violations of common-sense physics or interaction."
LVP_040,4,"A right hand pushes down on the black handle of a paper cutter, slicing a sheet of white paper positioned on the gridded cutting board.","The video shows a right hand pushing down on the handle of a paper cutter to slice a sheet of paper. The hand's motion is gradual and consistent with real-world interaction. There are no floating objects, no spontaneous appearances, and no false grasps. The paper remains stationary on the cutting board while the blade moves down, which is physically accurate. The sequence is plausible and aligns with common-sense expectations for using a paper cutter. The only minor issue is that the paper does not visibly separate or show cut edges in the frames, which might suggest a slight lack of realism, but it does not constitute a major violation. Overall, the interaction is physically grounded and human-level consistent."
LVP_041,5,"A right hand reaches into a yellow bucket, which is on a green crate next to a white bollard, and grabs a black windshield squeegee.","The video shows a right hand reaching into a yellow bucket on a green crate to grasp a black windshield squeegee. The motion is physically plausible: the hand approaches, makes contact with the squeegee, and pulls it out. There are no floating parts, no spontaneous object appearances, and the grasp is clear and contact-based. The sequence aligns with common-sense human actions for retrieving an object from a container. The only minor issue is that the squeegee appears to be partially submerged in liquid (likely water) in the bucket, which is plausible for a cleaning task but not explicitly shown as being cleaned or used. However, this does not constitute a major violation. The overall interaction is consistent with human-level expectations."
LVP_042,5,"A hand reaches into a grey, felt-lined nook and pulls a three-legged wooden stool out from the corner.","The video shows a hand reaching into a nook and pulling a three-legged wooden stool out, which is a physically plausible and common human action. There are no floating objects, no spontaneous appearances, and the grasp is physically grounded with clear contact. The sequence flows naturally from approach to extraction, consistent with human-level expectations."
LVP_043,5,A hand pulls the black vertical handle on the left side of the white refrigerator's upper door to open it.,"The video shows a hand pulling a black vertical handle on a white refrigerator door, which opens smoothly and reveals the interior. The sequence follows realistic human interaction: the hand grips the handle, pulls it, and the door swings open without any floating, penetration, or false grasp. The lighting, object placement, and motion are physically plausible and consistent with common-sense expectations for opening a refrigerator. No anomalies are present."
LVP_044,5,"A right hand reaches up to close the open metal door of a rusty, cylindrical mailbox mounted on a weathered wooden post next to brick stairs.","The video shows a human hand reaching up to close the door of a mailbox, which is a common and physically plausible interaction. The hand moves naturally toward the mailbox door, and the door closes in a realistic manner without floating, penetrating, or false attachment. There are no spontaneous object appearances, and the sequence follows human-level common-sense expectations for this task. The motion is smooth and consistent with real-world physics and human behavior."
LVP_045,5,"A person's hand reaches to turn the black, circular wheel on a large, red industrial valve located in front of a chain-link fence.","The video shows a human hand interacting with an industrial valve in a physically plausible manner. There are no floating parts, no spontaneous object appearances, and the hand makes clear contact with the wheel, rotating it naturally. The sequence follows common-sense expectations for turning a valve: the hand reaches, grasps, and turns the wheel. All interactions are grounded and consistent with real-world physics and human behavior. No anomalies are present."
LVP_046,5,A hand moves the pink mouse on the white desk closer to the foreground.,"The video shows a hand moving a pink mouse on a desk toward the foreground, which is a plausible and common human interaction. There are no physical grounding violations (the hand and mouse remain on the desk surface), no spontaneous object appearances, and no false grasps—contact is clear and consistent. The motion is smooth and follows natural human behavior. All frames are consistent with real-world physics and common-sense expectations."
LVP_047,5,A right hand reaches toward the white trash bin located under a wooden surface to open it.,"The video shows a human hand reaching for and opening a white trash bin in a sequence that is physically plausible and consistent with common-sense interactions. There are no floating objects, no spontaneous appearances, and the hand makes clear contact with the lid before lifting it. The motion of opening the bin is natural and expected. All frames show a coherent, grounded interaction without anomalies."
LVP_048,5,A person's right hand pushes open the right side of a wooden gate equipped with a black metal latch.,"The video shows a human hand interacting with a wooden gate latch in a physically plausible manner. The hand approaches, makes contact with the latch, and applies force to open the gate. There are no floating parts, no spontaneous object appearances, and no false grasps. The motion follows common-sense expectations for opening a gate. The sequence is consistent with real-world human interaction."
LVP_049,5,"A left hand, extending from a grey sweatshirt sleeve, is positioned to lift the lid of a dark grey laptop resting on the canvas seat of a light wood-framed chair.","The video shows a human hand interacting with a laptop in a natural, step-by-step manner: first approaching, then lifting the lid, and finally interacting with the screen. There are no physical grounding violations, no spontaneous object appearances, and the grasp and lifting actions are physically plausible. The sequence aligns with common human behavior for opening a laptop. All frames are consistent with human-level common sense."
LVP_050,5,"A right hand holding a silver spoon places it into the black mug with the white ""The Robotics Institute"" logo.","The video shows a human hand placing a spoon into a mug in a sequence that is physically plausible and consistent with common human interaction. There are no floating objects, no spontaneous appearances, and the spoon is clearly held and inserted into the mug with proper contact. The motion is smooth and follows natural human dexterity. All frames show coherent, grounded interactions without any violations of physical laws or common-sense expectations."
LVP_051,5,A left hand reaches toward a green and white paper cup on a grey patterned carpet and squeezes it.,"The sequence shows a human hand reaching toward a paper cup on a carpet, with natural motion progression: initial approach, contact, and squeezing. There are no physical grounding violations, no spontaneous object appearances, and the grasp is physically plausible with clear contact. The actions are consistent with common human behavior, such as handling a cup. No anomalies are present, and the motion is smooth and realistic."
LVP_052,5,A person's right hand reaches towards the silver panel on a black emergency call box to press the red button.,"The sequence shows a human hand reaching toward and pressing a red button on an emergency call box, which is a common and physically plausible interaction. There are no floating parts, no spontaneous object appearances, and the hand makes clear contact with the button. The motion is consistent with human behavior: the hand approaches, presses, and then withdraws. All frames are grounded and physically coherent, meeting human-level common-sense expectations."
LVP_053,5,A right hand reaches across the black speckled countertop to pick up the blue creamer cup from a group of three.,"The video shows a human hand reaching for and picking up a blue creamer cup from a countertop, with consistent physical grounding and plausible motion. The hand makes contact with the cup, lifts it, and moves it away, which aligns with common-sense human interaction. There are no floating objects, spontaneous appearances, or non-contact grasps. The sequence is physically coherent and natural."
LVP_054,5,A left hand reaches onto the corner of a light-brown wooden table and picks up the white AirPods case.,"The video shows a human hand reaching for and picking up a white AirPods case from a wooden table. The motion is physically plausible: the hand approaches, makes contact, grasps the object, and lifts it away. There are no floating parts, no spontaneous appearances, and the grasp is clear and contact-based. This sequence aligns perfectly with common-sense human interaction with everyday objects."
LVP_055,5,A person's left arm reaches down toward the black plunger in its holder on the hexagonal-tiled floor next to the toilet.,"The video shows a human arm reaching for and interacting with a toilet brush in its holder on a hexagonal-tiled floor, which is a common and physically plausible bathroom activity. There are no floating objects, spontaneous appearances, or false grasps. The motion is consistent with human behavior: the hand approaches, grasps the brush handle, lifts it, and then releases it. All interactions are physically grounded and follow natural human movement patterns. The sequence is coherent and aligns with common-sense expectations for a person cleaning or handling a toilet brush."
LVP_056,5,A right hand reaches into the top shelf of an open Frigidaire refrigerator and pulls out a half-full plastic jug of Berkeley milk.,"The video shows a human hand reaching into a refrigerator, grasping a milk jug, and pulling it out. The motion is physically plausible, with no floating or intersecting parts, no spontaneous object appearances, and clear contact during the grasp. The sequence aligns with common-sense human behavior for retrieving an item from a fridge. The only minor issue is that the hand appears to be slightly blurred in some frames, but this does not constitute a violation of physical or common-sense rules."
LVP_057,5,"A person's right hand moves to twist the white, ridged cap off a white and red bottle that is lying on the gray fabric of an office chair.","The video shows a human hand interacting with a bottle in a physically plausible way. The hand approaches, grasps the cap, twists it off, and releases it, all without floating, penetrating, or false attachment. The motion sequence is consistent with real-world actions for opening a bottle cap. There are no spontaneous object appearances or physical grounding violations. The interaction adheres to common-sense expectations for human behavior."
LVP_058,5,A right index finger presses the number 8 button on the lower physical keypad of a stainless steel elevator control panel.,"The video shows a human finger pressing the '8' button on an elevator keypad, which is a common and physically plausible interaction. There are no floating objects, no spontaneous appearances, and no false grasps. The sequence correctly depicts the finger moving to the button and pressing it, with consistent lighting and panel geometry across frames. This action fully aligns with human-level common sense for operating an elevator."
LVP_059,5,"A right hand with dark nail polish on the thumb, extending from a white-cuffed sleeve, reaches to hold the black, textured right handlebar of an electric scooter.","The video shows a hand with dark nail polish reaching for and grasping the handlebar of an electric scooter in a natural, step-by-step manner. There are no floating parts, no spontaneous object appearances, and the grasp is physically plausible with clear contact. The sequence follows common-sense human interaction: the hand approaches, makes contact, and firmly grips the handlebar. All frames are consistent with realistic human motion and environmental context."
LVP_060,5,"A person's right hand holding a silver spoon places it into the red cup decorated with French bulldog faces, which already contains a fork.","The video shows a hand holding a spoon and placing it into a cup that already contains a fork. The motion is smooth and physically plausible, with no floating objects, penetration, or false grasping. The interaction follows common-sense expectations: a person placing a spoon into a cup alongside another utensil. All frames are consistent with human-level actions and no anomalies are present."
LVP_061,2,A person's hand reaches for the open zipper on the front of a black backpack resting on a wooden desk to zip it closed.,"The video shows a robotic arm attempting to interact with a backpack zipper, while a human hand is nearby. The robotic arm's movements appear physically grounded and plausible, with no floating or penetrating objects. However, the task described (zipping a backpack) is not being performed correctly; the robotic arm is not engaging the zipper in a way that would close it, and the human hand is not interacting with the zipper. This indicates a failure to complete the intended action, which is a common-sense violation for a task video. The robot's grasp is also not clearly attached to the zipper, suggesting a non-contact attachment or false grasp. Therefore, the video fails to meet human-level common-sense expectations for the task."
LVP_062,4,A right hand reaches to grab the wooden chair with a cross-back design on the red brick patio.,"The video shows a human hand reaching toward a wooden chair in a consistent, plausible manner across frames. There are no physical grounding violations, no spontaneous object appearances, and no false grasps— the hand moves naturally toward the chair without intersecting or penetrating objects. The sequence aligns with common-sense human interaction: a person reaching for a chair to pull it toward them or to sit. The motion is smooth and physically grounded. The only minor issue is that the hand never actually makes contact with the chair, which might be a slight inconsistency for a 'grab' action, but the overall sequence is highly realistic and consistent with human behavior."
LVP_063,5,"A person's left hand reaches for a spray bottle in a yellow caddy on a janitorial cart, which also holds a box of black gloves, a roll of paper towels, and other cleaning solutions.","The video shows a person's hand reaching into a janitorial cart to retrieve a spray bottle. The motion is smooth and physically plausible, with no floating objects, spontaneous appearances, or false grasps. The hand interacts naturally with the cart and objects, and the sequence follows common-sense expectations for a human performing a routine task. The objects remain grounded and move only as a result of the hand's interaction. The action is consistent with real-world behavior."
LVP_064,5,A right hand reaches for the silver doorknob to open the black metal mesh security gate.,"The video shows a human hand reaching for and grasping a silver doorknob on a black metal mesh gate, which is a common, physically plausible interaction. There are no floating parts, no spontaneous object appearances, and the grasp is clearly physical with contact. The sequence follows natural human motion: reaching, grasping, and turning the knob. All frames are consistent with real-world physics and human behavior, making it fully consistent with common-sense expectations."
LVP_065,5,A right hand with dark nail polish reaches toward a white desk to unscrew the cap of an orange plastic bottle of Ito En Hojicha tea.,"The sequence shows a human hand with dark nail polish approaching, grasping, and unscrewing the cap of an Ito En Hojicha tea bottle on a desk. All interactions are physically plausible: the hand makes clear contact with the bottle, the bottle remains grounded on the desk, and the motion of unscrewing is consistent with real-world behavior. No anomalies such as floating objects, spontaneous appearances, or false grasps are present. The action is entirely consistent with human-level common sense."
LVP_066,5,A person's right index finger moves towards an open container of yellow petroleum jelly on a white bathroom counter to scoop some of the paste.,"The video shows a person's right index finger moving toward an open container of yellow petroleum jelly on a bathroom counter. The sequence is physically grounded, with no floating or intersecting objects. The finger approaches the container without any spontaneous appearance of objects or false grasps. The action is consistent with common human behavior: reaching for a substance to scoop or apply. The motion is gradual and plausible, matching the expected interaction with a soft, spreadable product. No anomalies are present, and the interaction is entirely within human-level common sense."
LVP_067,5,"From an overhead view, a person's right hand reaches over the open lid of a white toilet to press the smaller button on the chrome dual-flush mechanism.","The video shows a human hand interacting with a dual-flush toilet mechanism in a realistic, step-by-step manner. There are no physical grounding violations, spontaneous object appearances, or false grasps. The action of pressing the smaller button to flush with a reduced volume of water is a common and sensible human interaction with such fixtures. The sequence is coherent and consistent with everyday bathroom behavior."
LVP_068,5,"A right hand reaches for a white power adapter on a white desk, moving to plug it into the adjacent white power strip.","The video shows a human hand reaching for a power adapter and plugging it into a power strip, which is a common, physically plausible action. There are no floating objects, no spontaneous appearances, and the grasp and plug-in actions are physically grounded. The sequence follows natural human interaction with everyday objects, making it consistent with common-sense expectations."
LVP_069,5,"A person's right hand reaches towards the silver doorknob on a dirty, white paneled door, which is next to a textured white wall with a double light switch.","The video shows a human hand reaching for and interacting with a doorknob in a realistic, sequential manner. There are no physical grounding violations, no spontaneous object appearances, and the hand makes clear contact with the doorknob without false grasps. The motion and context are consistent with common human behavior for opening a door. All frames align logically with the action, and the environment (dirty white door, textured wall, light switch) is plausible and stable."
LVP_070,5,"A person's left hand lifts the lid of a white, top-loading washing machine using the indented handle on the front.","The sequence shows a human hand lifting the lid of a top-loading washing machine in a physically plausible and consistent manner. There are no floating parts, no spontaneous object appearances, and the hand makes clear contact with the lid throughout the motion. The action follows common-sense expectations for interacting with such an appliance. The motion is smooth and realistic, with no false grasps or penetration. The video is fully consistent with human-level interactions."
LVP_071,5,"A right hand with black nail polish reaches toward a teal, BMO-themed earbud case on a wooden surface to open the lid.","The video shows a human hand with black nail polish approaching and opening a teal BMO-themed earbud case on a wooden surface. The hand's movement is natural and sequential: it hovers, then makes contact, and finally lifts the lid. There are no floating objects, no spontaneous appearances, and no false grasps. The interaction is physically plausible and aligns with common human behavior for opening a small case. The sequence is smooth and consistent with real-world expectations."
LVP_072,5,A right hand reaches down to pick up an upside-down electric skateboard from a wooden floor.,"The video shows a right hand reaching down to pick up an upside-down electric skateboard from a wooden floor. The hand makes physical contact with the skateboard, grips it, and lifts it without any floating, penetration, or spontaneous appearance. The motion is consistent with human interaction: the hand first touches the board, then grasps it, and finally lifts it. All frames show plausible, continuous motion without anomalies. The action is common-sense and realistic for a human picking up an object."
